DataSource,USGS_or_Durham_station_ID,Sample_date,Sample_time,Instantaneous_flow_cfs,Daily_mean_flow_cfs,Dissolved_oxygen_mg/L,pH_standard_units,Specific_conductance_µS/cm_25C,Water_temperature_C,Turbidity_unfiltered_NTU,Ammonia+organicN_unfiltered_mg/L_N,Nitrate+nitrite_unfiltered_mg/L_N,Nitrate+nitrite_filtered_mg/L_ N,Total nitrogen_computed_mg/L_N,Total_nitrogen_measured_mg/L_N,Phosphorus_unfiltered_mg/L_P     
City of Durham,NH3.3SC,11/8/16,1255,0.73,0.86,8.41,7.3,285,12.9,3.15,E0.28,0.16,--,E0.44,--,0.08
USGS,209722970,12/6/16,1340,5.5,12,8.9,7.2,437,10.1,11,0.64,--,0.34,0.98,--,0.104
USGS,209722970,1/2/17,1245,68,49.9,--,--,92,--,--,0.74,--,0.37,1.11,--,0.275
City of Durham,NH3.3SC,1/18/17,930,2.18,2.23,9.7,7.26,694,10.3,9.81,0.4,0.24,--,0.64,--,0.04
USGS,209722970,1/23/17,630,160,44.3,--,--,196,--,220,1.3,--,0.24,1.54,--,0.361
USGS,209722970,2/9/17,520,56,16.8,--,--,237,--,160,0.95,--,0.3,1.25,--,0.248
City of Durham,NH3.3SC,2/22/17,910,1.47,1.48,9.25,7.22,383,11.7,9.08,0.45,E0.06,--,0.51,--,0.07
USGS,209722970,3/1/17,2210,111,15,--,--,206,--,300,1.5,--,0.33,1.83,--,0.429
USGS,209722970,3/14/17,240,55,24.4,--,--,180,--,76,0.76,--,0.33,1.09,--,0.16
City of Durham,NH3.3SC,3/22/17,900,1.67,1.83,E6.9,7.3,376,13.1,8.4,2.84,E0.09,--,2.93,--,0.16
City of Durham,NH3.3SC,4/19/17,900,1.39,1.38,5.5,7.2,374,16,5.3,0.54,0.1,--,0.64,--,0.06
USGS,209722970,4/25/17,205,571,212,--,--,63,--,290,1.3,--,0.35,1.65,--,0.345
USGS,209722970,5/5/17,550,527,76.6,--,--,72,--,>1000,2.8,--,0.2,3,--,1.14
USGS,209722970,5/24/17,2020,78,18.4,--,--,147,--,150,1.1,--,0.38,1.48,--,0.351
USGS,209722970,5/25/17,440,246,46.1,--,--,81,--,440,1.9,--,0.22,2.12,--,0.693
USGS,209722970,6/5/17,2115,166,33.3,--,--,94,--,380,1.8,--,0.26,2.06,--,0.468
USGS,209722970,6/17/17,1513,341,38,--,--,46,--,900,2.5,--,0.17,2.67,--,0.654
USGS,209722970,6/20/17,250,424,78.5,--,--,53,--,330,1.5,--,0.23,1.73,--,0.468
USGS,209722970,6/26/17,1410,1.2,1.13,--,--,156,--,11,0.57,--,0.19,0.76,--,0.084
USGS,209722970,7/8/17,1959,70,11.6,--,--,83,--,280,1.2,--,0.33,1.53,--,0.332
City of Durham,NH3.3SC,7/19/17,905,0.61,0.66,6.9,7.3,284,23.1,2.7,0.42,0.27,--,0.69,--,0.07
USGS,209722970,8/13/17,715,52,12.8,--,--,84,--,180,1,--,0.36,1.36,--,0.242
City of Durham,NH3.3SC,8/23/17,900,0.94,1.02,5.6,7.4,242,24.7,5.7,0.72,E0.08,--,0.8,--,0.1
USGS,209722970,9/1/17,1845,298,25.9,--,--,37,--,470,2.4,--,0.28,2.68,--,0.663
City of Durham,NH3.3SC,9/20/17,925,2.27,2.26,6.5,7.2,242,20.5,2.3,E0.27,0.14,--,E0.41,--,0.05
USGS,209722970,10/11/17,1900,45,7.55,--,--,116,--,350,2.2,--,0.16,2.36,--,0.658
City of Durham,NH3.3SC,10/18/17,900,0.82,0.96,7.3,6.7,194,12.6,4.8,E0.27,<0.04,--,E0.29,--,0.03
USGS,209722970,10/23/17,2235,316,29.8,--,--,49,--,780,3,--,0.25,3.25,--,0.83
USGS,209722970,11/13/17,452,68,16.7,--,--,90,--,170,1.1,--,0.23,1.33,--,0.345
City of Durham,NH3.3SC,11/15/17,845,1.15,1.25,8.7,6.4,132,8.5,9.1,0.45,0.14,--,0.59,--,0.1
USGS,209722970,12/8/17,2254,88,17.1,--,--,97,--,99,0.75,--,0.3,1.05,--,0.252
City of Durham,NH3.3SC,12/13/17,900,0.58,0.53,11.2,6.7,216,2.7,6.9,0.37,--,--,--,--,0.09
USGS,209722970,12/21/17,930,1.7,2.17,--,--,263,--,13,0.37,--,0.24,0.61,--,0.07
USGS,209722970,1/12/18,2211,79,19.9,--,--,363,--,200,1.4,--,0.54,1.94,--,0.4
City of Durham,NH3.3SC,1/16/18,850,0.11,0.13,E11.4,7.2,345,0.5,8.9,0.46,0.33,--,0.79,--,0.07
City of Durham,NH3.3SC,2/20/18,830,1.77,1.69,9.6,7.3,313,10.7,10.1,0.77,0.34,--,1.11,--,0.037
City of Durham,NH3.3SC,3/20/18,815,60.8,30.1,10.1,7.2,115,12.9,253,1.93,0.26,--,2.19,--,0.6
City of Durham,NH3.3SC,4/17/18,815,5.92,5.18,E8.3,6.9,188,12.1,59.6,1.35,0.61,--,1.96,--,0.23
City of Durham,NH3.3SC,5/15/18,845,1.26,1.25,5,7.2,347,23.5,6.5,1.64,0.89,--,2.53,--,0.08
City of Durham,NH3.3SC,6/19/18,835,0.25,0.29,5.3,7.2,272,24.6,10.6,0.57,0.14,--,0.71,--,0.08
City of Durham,NH3.3SC,7/24/18,820,1.14,1.21,4.9,6.8,184,24.4,13,0.83,<0.04,--,0.85,--,0.09
City of Durham,NH3.3SC,8/21/18,845,3.59,2.97,5.9,6.8,152,24.9,15.3,E1.31,0.31,--,E1.62,--,0.065
City of Durham,NH3.3SC,9/25/18,840,5.12,5.32,E5.8,6.5,237,21.9,5.4,0.39,0.29,--,0.68,--,0.05
City of Durham,NH3.3SC,10/16/18,830,3.49,3.49,7.2,6.2,225,19.1,6.8,0.54,0.26,--,0.8,--,0.06
City of Durham,NH3.3SC,11/13/18,830,81.6,203,11,5.7,87,10.7,93.3,1.05,0.61,--,1.66,--,0.105
City of Durham,NH3.3SC,12/12/18,830,14,17.6,12.1,6.2,411,4.1,21.4,0.49,0.39,--,0.88,--,0.09
City of Durham,NH3.3SC,1/22/19,925,4.2,4.39,4.7,7.3,268,1.7,13.1,0.92,0.46,--,1.38,--,0.07
City of Durham,NH3.3SC,2/19/19,850,6.46,11.4,9.7,6.7,199,7.7,26.2,0.65,0.46,--,1.11,--,0.1
City of Durham,NH3.3SC,3/19/19,855,2.1,2.25,10.2,7.2,242,9.5,11.5,0.54,0.15,--,0.69,--,0.1
City of Durham,NH3.3SC,4/16/19,850,6.46,6.03,8.3,7.2,185,13.9,28.4,0.76,0.22,--,0.98,--,0.14
City of Durham,NH3.3SC,5/21/19,835,0.82,1.15,5.5,6.9,305,21,7.9,0.62,0.36,--,0.98,--,0.14
City of Durham,NH3.3SC,6/18/19,900,0.71,11.4,6.3,7.2,257,23.3,7.1,0.45,0.15,--,0.6,--,0.07
City of Durham,NH3.3SC,7/23/19,835,36.9,140,6.8,6.5,108,25.2,100,0.78,0.49,--,1.27,--,0.3
City of Durham,NH3.3SC,8/27/19,920,0.54,0.51,6.3,6.6,183,21.7,6.3,0.42,0.45,--,0.87,--,0.08
City of Durham,NH3.3SC,9/17/19,850,0.23,0.22,5.4,6.9,254,22.3,2.6,0.35,0.26,--,0.61,--,0.18
City of Durham,NH3.3SC,10/15/19,850,0.54,0.42,5.6,6.8,237,15.3,3.2,0.58,0.4,--,0.98,--,0.07
City of Durham,NH3.3SC,11/19/19,845,2.81,2.81,8.8,6.6,180,9.2,E15.7,0.5,0.26,--,0.76,--,0.08
City of Durham,NH3.3SC,12/10/19,840,1.04,1.01,E7.8,7.2,266,9.5,3.5,0.59,E0.06,--,0.65,--,0.04
City of Durham,NH3.3SC,1/21/20,1005,1.75,1.78,12.1,7.3,255,3.7,11.5,0.47,0.44,--,0.91,--,0.11
City of Durham,NH3.3SC,2/18/20,1000,4.75,4.75,10.5,7.2,256,8.8,14.5,0.57,0.49,--,1.06,--,0.1
City of Durham,NH3.3SC,3/17/20,1000,1.45,1.35,8.9,7.2,319,12.8,6.1,E0.34,<0.04,--,E0.36,--,0.05
City of Durham,NH3.3SC,5/12/20,955,1.6,1.36,9.6,7.2,259,12.1,4.3,0.34,0.24,--,0.58,--,0.05
City of Durham,NH3.3SC,6/9/20,1015,0.28,0.26,5.8,7,308,23,9,0.5,0.24,--,0.74,--,0.07
City of Durham,NH3.3SC,7/21/20,1000,1.05,0.75,5.2,6.8,235,26,4.7,E0.47,0.17,--,E0.64,--,0.13
City of Durham,NH3.3SC,8/18/20,945,3.92,3.68,5.7,6.8,150,22.9,22.5,0.58,0.37,--,0.95,--,0.03
City of Durham,NH3.3SC,9/15/20,1000,1.18,0.99,6.9,7.1,295,20.3,3.2,0.41,0.23,--,0.64,--,0.1
City of Durham,NH3.3SC,10/20/20,935,0.93,0.77,7.4,6.7,210,15.1,5.8,0.46,0.23,--,0.69,--,0.08
City of Durham,NH3.3SC,11/17/20,945,1.45,1.46,8.5,7,236,11,7.9,0.45,0.27,--,0.72,--,0.06
City of Durham,NH3.3SC,12/9/20,930,2.09,1.95,11.6,7.7,191,5.3,13.7,0.54,0.21,--,0.75,--,0.05
