"DataSource","USGS_or_Durham_station_ID","Sample_date","Sample_time","Instantaneous_flow_cfs","Daily_mean_flow_cfs","Dissolved_oxygen_mg.L","pH_standard_units","Specific_conductance_uS.cm_25C","Water_temperature_C","Turbidity_unfiltered_NTU","Ammonia.organicN_unfiltered_mg.L_N","Nitrate.nitrite_unfiltered_mg.L_N","Nitrate.nitrite_filtered_mg.L_.N","Total.nitrogen_computed_mg.L_N","Total_nitrogen_measured_mg.L_N","Phosphorus_unfiltered_mg.L_P","year"
"USGS","209722970",2014-05-28,840,2.9,"3.06",6.2,"6.9",175,21.5,"--","--","--","0.423",NA,"1.51",0.488,"2014"
"City of Durham","NH3.3SC",2014-06-18,835,0.38,"0.38",5.91,"7.42",296,23.3,"5.49","0.27","0.21","--",NA,"--",0.07,"2014"
"City of Durham","NH3.3SC",2014-07-15,847,0.73,"33.2",5.93,"7.46",308,24.7,"4.85","0.61","0.26","--",0.87,"--",0.15,"2014"
"City of Durham","NH3.3SC",2014-08-13,848,19.7,"17.9",7.1,"6.74",112,23.1,"258","0.81","0.35","--",1.16,"--",0.3,"2014"
"City of Durham","NH3.3SC",2014-09-10,853,1.26,"1.25",6.31,"6.97",198,21.9,"16.6","0.39","0.26","--",0.65,"--",0.08,"2014"
"City of Durham","NH3.3SC",2014-10-15,930,43.9,"27.3",7.6,"6.63",94.6,20.5,"174","1.15","0.24","--",1.39,"--",NA,"2014"
"City of Durham","NH3.3SC",2014-11-12,837,0.12,"0.1",5.68,"6.6",208,11,"2.82","0.4","<0.02","--",0.41,"--",0.12,"2014"
"City of Durham","NH3.3SC",2014-12-09,855,13.1,"25.2",10.31,"6.75",265,6.7,"14.3","0.3","0.16","--",0.46,"--",NA,"2014"
"City of Durham","NH3.3SC",2015-01-21,917,2.15,"2.19",11.22,"6.74",252,6.4,"20.7","0.15","0.29","--",NA,"--",NA,"2015"
"City of Durham","NH3.3SC",2015-02-23,934,12.7,"12.9",12.63,"7.12",658,3.8,"20.8","0.55","0.32","--",0.87,"--",0.06,"2015"
"City of Durham","NH3.3SC",2015-03-18,931,1.82,"1.69",9.58,"7.33",446,10.7,"7.8","0.94","0.13","--",1.07,"--",0.04,"2015"
